model_type,architecture,window_size,rmse,mae,time,params
LSTM,small,30,0.7609479476556135,0.607571542263031,2.689586639404297,19463
LSTM,medium,30,0.7502459679037299,0.6034857034683228,3.2866456508636475,207879
LSTM,large,30,0.7906498946541355,0.6362139582633972,4.365106582641602,1351687
LSTM,extra_large,30,0.7792119336026108,0.6254891157150269,4.614959239959717,1878023
LSTM,huge,30,0.7762623458224536,0.6327416896820068,6.2117109298706055,2404359
GRU,small,30,0.7452677203467521,0.6008725166320801,2.0952680110931396,15175
GRU,medium,30,0.7798471444082248,0.6232444643974304,1.6698954105377197,158087
GRU,large,30,0.7761989195229594,0.6269912123680115,2.3738653659820557,1022215
GRU,extra_large,30,0.8063669918255761,0.6568884253501892,2.952259063720703,1416967
GRU,huge,30,0.7624048517615178,0.6146686673164368,4.1315016746521,1811719
LSTM,small,90,0.7634120801705921,0.617018461227417,2.172696113586426,19463
LSTM,medium,90,0.7644787596476988,0.6193040013313293,7.394164562225342,207879
LSTM,large,90,0.8264565484659359,0.6628151535987854,9.728519201278687,1351687
LSTM,extra_large,90,0.8552719656301562,0.6789758801460266,11.845324039459229,1878023
LSTM,huge,90,0.76926336127707,0.6278995871543884,15.185980081558228,2404359
GRU,small,90,0.744770534366748,0.600856602191925,1.975144863128662,15175
GRU,medium,90,0.7601381776078655,0.6085624098777771,2.892671585083008,158087
GRU,large,90,0.7433370822404259,0.6029135584831238,5.261548042297363,1022215
GRU,extra_large,90,0.7729320222986401,0.6298146843910217,7.302098512649536,1416967
GRU,huge,90,0.8045435285937039,0.6475524306297302,10.598206996917725,1811719
LSTM,small,180,0.8708578226457727,0.6865651607513428,1.433788776397705,19463
LSTM,medium,180,0.7703489809508982,0.6178333163261414,13.933357000350952,207879
LSTM,large,180,0.8843320074516026,0.6954579949378967,10.741235733032227,1351687
LSTM,extra_large,180,0.7441356588683534,0.6069719791412354,28.167436361312866,1878023
LSTM,huge,180,0.7558329969431316,0.6193181276321411,35.178842544555664,2404359
GRU,small,180,0.7624417517254481,0.6101096272468567,1.7063534259796143,15175
GRU,medium,180,0.8662897222529912,0.6785237193107605,3.7194573879241943,158087
GRU,large,180,0.7329369933356831,0.5955487489700317,10.068387031555176,1022215
GRU,extra_large,180,0.763059521802011,0.6164897084236145,14.006287813186646,1416967
GRU,huge,180,0.7839717375492764,0.6271141171455383,21.987245082855225,1811719
LSTM,small,365,0.8860030794176272,0.6969007849693298,1.2973334789276123,19463
LSTM,medium,365,0.751615294824746,0.6063312888145447,23.5418381690979,207879
LSTM,large,365,0.7366260361003079,0.600042462348938,36.06105184555054,1351687
LSTM,extra_large,365,0.7734475953955647,0.6219751834869385,43.852452754974365,1878023
LSTM,huge,365,0.7983192744507069,0.6391160488128662,63.15455937385559,2404359
GRU,small,365,0.7719153636927004,0.6193304061889648,3.459916830062866,15175
GRU,medium,365,0.7967025719881827,0.6306538581848145,8.153940439224243,158087
GRU,large,365,0.834927742281473,0.6585142016410828,31.339263439178467,1022215
GRU,extra_large,365,0.834360364006918,0.6541564464569092,35.27457070350647,1416967
GRU,huge,365,0.7482401545852213,0.6040295362472534,45.871267318725586,1811719
